wind_power,controller,avg_reward,avg_steps,avg_tracking_error,success_rate,crash_rate
0,PD Controller,-500.00821206904345,78.1,0.9800093591213226,0.0,100.0
0,PPO AI,169.06016452416526,630.4,0.5789683312177658,80.0,10.0
8,PD Controller,-496.48174636384664,67.8,0.9493235528469086,0.0,100.0
8,PPO AI,159.5663765693568,553.5,0.5876433312892914,90.0,10.0
12,PD Controller,-468.96779116239577,61.5,0.9527943074703217,0.0,100.0
12,PPO AI,167.7129065099156,624.7,0.6218594968318939,80.0,10.0
